id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_090	17	32	11.542888718	0.360715272	1	14	32	32	0.073280281	-0.021263533	640	632	0.987500000	32	31	0.968750000	632	545	0.862341772	632	1.239795139	0.713136218	5928	5124	0.864372470
case_091	14	32	6.448841521	0.201526298	1	9	32	32	0.137643585	0.056618151	640	635	0.992187500	32	32	1.000000000	635	516	0.812598425	635	1.655186281	1.012956158	5985	5056	0.844778613
case_092	15	32	9.385571683	0.293299115	1	1	32	32	0.181218819	-0.133879672	640	628	0.981250000	32	31	0.968750000	628	534	0.850318471	628	1.665740641	1.280544104	5852	5028	0.859193438
case_093	17	32	12.131585398	0.379112044	1	12	32	32	0.199990499	-0.160275920	640	638	0.996875000	32	28	0.875000000	638	541	0.847962382	638	1.261531652	0.874024799	6042	5170	0.855676928
case_094	16	1	0.000032702	0.000032702	1	1	1	1	0.000483222	0.000483222	20	20	1.000000000	1	1	1.000000000	20	14	0.700000000	20	1.726741569	0.137543973	190	135	0.710526316
case_095	17	2	0.026565649	0.013282825	1	2	2	2	0.000217187	-0.000217187	40	39	0.975000000	2	2	1.000000000	39	29	0.743589744	39	0.911312058	0.078580067	361	298	0.825484765
case_096	15	5	0.000028228	0.000005646	1	5	5	5	0.000002483	-0.000002093	100	96	0.960000000	5	5	1.000000000	96	73	0.760416667	96	2.053768958	-1.714086790	874	706	0.807780320
case_097	22	1	0.010867138	0.010867138	1	1	1	1	0.471243362	0.471243362	20	20	1.000000000	1	1	1.000000000	20	13	0.650000000	20	1.996222351	-1.081490548	190	151	0.794736842
case_098	20	7	2.793667165	0.399095309	0	0	7	7	0.195260636	-0.166105080	140	136	0.971428571	7	7	1.000000000	136	107	0.786764706	136	1.264443830	0.880477464	1254	970	0.773524721
case_099	22	6	0.001340887	0.000223481	1	6	6	6	0.042711301	0.042709331	120	114	0.950000000	6	6	1.000000000	114	88	0.771929825	114	1.351801785	-0.919395395	1026	841	0.819688109
